platform,track_name,album_artist_name,album_name,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,year,month,day,s_played
Android,Wishful Drinking,Tessa Violet,Bad Ideas,trackdone,trackdone,True,0.0,False,1660005679743,2022,8,9,195.11
Windows,muse,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,False,1649357508162,2022,4,7,172.08
Android,Nota De Suicidio (Con Soma),Porta,Trastorno Bipolar,trackdone,fwdbtn,True,1.0,False,1667939050,2022,11,8,18.133
Windows,Toma Dos Tazas (Cuphead Rap),Keyblade,Toma Dos Tazas (Cuphead Rap),trackdone,trackdone,True,0.0,False,1648935633608,2022,4,2,162.676
Android,El 90% de Mí Eres Tu,Porta,No Hay Truco (Maqueta 2007),trackdone,unexpected-exit-while-paused,True,0.0,False,1678712272,2023,3,13,42.3
Android,VILLAIN,K/DA,ALL OUT,fwdbtn,fwdbtn,True,0.0,False,1660618145981,2022,8,16,1.266
Android,Más Fuerte,Greeicy,Baila,fwdbtn,trackdone,True,0.0,False,1660179724441,2022,8,11,184.76
Android,Ride - Recorded at Spotify Studios NYC,MisterWives,Spotify Singles,fwdbtn,fwdbtn,True,0.0,False,1659323150953,2022,8,1,125.523
Android,No Mediocre (feat. Iggy Azalea),T.I.,No Mediocre (feat. Iggy Azalea),trackdone,trackdone,True,0.0,True,1661347358439,2022,8,24,201.6
Windows,The Way I Are (Dance with Somebody) [feat. Lil Wayne],Bebe Rexha,All Your Fault: Pt. 2,trackdone,trackdone,True,0.0,False,1674422675,2023,1,22,187.787
Android,Chapter 6 Many Mistakes,Jax Anderson,THIS IS A COPING MECHANISM FOR A BROKEN HEART,fwdbtn,endplay,False,0.0,False,1638221479226,2021,11,29,16.323
Otros,"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,trackdone,remote,True,0.0,False,0,2022,10,1,13.235
Android,Wavin' Flag - Coca-Cola® Spanish Celebration Mix,K'NAAN,Troubadour,trackdone,trackdone,False,0.0,False,1659501123051,2022,8,3,232.466
Windows,Vuelve (feat. MC Davo),C-Kan,Voy Por El Sueno de Muchos,fwdbtn,fwdbtn,True,0.0,False,1652558922170,2022,5,14,1.06
Android,Vengo Desde Abajo,Porta,Algo Ha Cambiado,trackdone,trackdone,True,0.0,True,1678101521,2023,3,6,239.293
Android,YES MOM (I'm The One To Beat),Tessa Violet,YES MOM (I'm The One To Beat),trackdone,trackdone,True,0.0,True,1678478257,2023,3,10,162.36
Windows,Dame una Hora,Santa RM,La Cara B,fwdbtn,fwdbtn,True,1.0,False,1677438268,2023,2,26,56.23
Windows,Crush,Tessa Violet,Crush,trackdone,trackdone,True,0.0,False,0,2022,7,1,216.124
Android,Dream,Tessa Violet,Halloway,fwdbtn,fwdbtn,True,0.0,False,1662036719618,2022,9,1,3.252
Android,Reflections,MisterWives,Our Own House,fwdbtn,fwdbtn,True,0.0,False,1660827806530,2022,8,18,2.087
Android,Dragon Ball GT Rap,Porta,Dragon Ball GT Rap,trackdone,trackdone,True,0.0,True,1677830946,2023,3,3,301.559
Android,Ten La Tuya,C-Kan,Voy Por El Sueno de Muchos,trackdone,trackdone,True,0.0,False,1657582644124,2022,7,11,293.616
Windows,No Hay Truco,Porta,No Hay Truco (Maqueta 2007),trackdone,trackdone,True,0.0,False,0,2022,10,27,360.804
Android,over the rainbow,MisterWives,SUPERBLOOM,trackdone,fwdbtn,True,1.0,True,1680111448,2023,3,29,86.809
Android,Grandes Ligas,Lupillo Rivera,Grandes Ligas,trackdone,trackdone,True,0.0,False,1660783701325,2022,8,18,240.0
Android,El Primer Dia Sin Ti,Danna Paola,Danna Paola,trackdone,trackdone,True,0.0,True,1678101946,2023,3,6,234.413
Android,stories,MisterWives,SUPERBLOOM,trackdone,fwdbtn,True,0.0,False,1638017828769,2021,11,27,45.579
Android,Nuestra Historia de Dos,Porta,No Hay Truco (Maqueta 2007),fwdbtn,fwdbtn,True,0.0,False,1647263238574,2022,3,14,1.638
Android,Hay Siempre un Sentimiento Muerto en un Corazón Roto,Porta,No Hay Truco (Maqueta 2007),fwdbtn,fwdbtn,True,0.0,True,1654697300349,2022,6,8,1.338
Android,Lo Malo,Aitana,Lo Malo,trackdone,trackdone,True,0.0,True,1646999621949,2022,3,11,180.831
Android,Estados,Porta,No Hay Truco (Maqueta 2007),fwdbtn,fwdbtn,True,0.0,False,1647610964137,2022,3,18,0.023
Windows,Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2),Keyblade,Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2),trackdone,trackdone,True,0.0,False,1648768776316,2022,3,31,197.143
Windows,Good Day (feat. MisterWives and Curtis Roach),Jax Anderson,Good Day (feat. MisterWives and Curtis Roach),fwdbtn,fwdbtn,True,1.0,False,1680033943,2023,3,28,1.13
Android,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,trackdone,trackdone,True,0.0,True,1671711896,2022,12,22,157.56
Windows,ghost,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,False,0,2022,6,7,202.308
Windows,Jura por Tu Dios - Streaming Remaster,Santaflow,Ave Fénix,trackdone,fwdbtn,False,0.0,False,0,2022,6,17,44.322
Windows,Kings And Queens,MisterWives,Kings And Queens,trackdone,trackdone,True,0.0,False,1674871499,2023,1,28,212.973
Windows,Coffins,MisterWives,Our Own House,trackdone,trackdone,True,0.0,False,1650489392925,2022,4,20,188.653
Android,ghost,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,False,1673583198,2023,1,13,202.4
Android,Machine,MisterWives,Connect The Dots,trackdone,trackdone,True,0.0,False,1664381072277,2022,9,28,210.426
Android,Revelation,Danny Elfman,Spider-Man (Original Motion Picture Score),clickrow,endplay,True,0.0,False,1637721385779,2021,11,24,3.589
Otros,I Don't Get to Say I Love You Anymore,Tessa Violet,Halloway,trackdone,trackdone,True,0.0,False,0,2023,1,11,210.013
Android,alone,MisterWives,SUPERBLOOM,fwdbtn,fwdbtn,True,0.0,False,1638127726614,2021,11,28,1.549
Android,Say So,Doja Cat,Hot Pink,trackdone,logout,True,0.0,False,1650298407614,2022,4,19,0.278
Android,Bang Bang,K'NAAN,Troubadour,backbtn,backbtn,False,0.0,False,1660222638251,2022,8,11,0.023
Android,Yo Vengo,Santa RM,La Cara B,fwdbtn,fwdbtn,True,1.0,True,1665943338,2022,10,16,0.023
Android,Wishful Drinking,Tessa Violet,Bad Ideas,appload,endplay,True,0.0,False,1658107763175,2022,7,18,35.92
Windows,Favor Con Favor,Santa RM,Mala Ortografía,trackdone,trackdone,True,0.0,False,1648916681416,2022,4,2,331.401
Android,7-2,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,True,1679415694,2023,3,21,176.6
Windows,En el 2000,Natalia Lafourcade,Natalia Lafourcade,clickrow,trackdone,True,0.0,False,1658027938957,2022,7,17,215.0
Android,Bad Ideas - Lo Fi,Tessa Violet,Bad Ideas - THE REMIXES,playbtn,endplay,True,0.0,False,1637719781666,2021,11,24,11.694
Windows,SUPERBLOOM,MisterWives,SUPERBLOOM,trackdone,trackdone,True,0.0,False,1676920538,2023,2,20,213.546
Android,Aprecia Lo Que Tienes,Porta,En Boca De Tantos,trackdone,fwdbtn,True,0.0,False,1657755530602,2022,7,13,46.615
Android,Riptide,MisterWives,Spotify Sessions,trackdone,trackdone,True,0.0,False,1638222127066,2021,11,29,253.191
Windows,Crush,Tessa Violet,Bad Ideas,trackdone,trackdone,True,0.0,False,1637790405987,2021,11,24,216.266
Android,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,trackdone,trackdone,True,0.0,False,1667938017,2022,11,8,269.666
Android,Vengo Desde Abajo,Porta,Algo Ha Cambiado,fwdbtn,fwdbtn,True,0.0,True,1655748114885,2022,6,20,1.751
Android,Ride - Recorded at Spotify Studios NYC,MisterWives,Spotify Singles,trackdone,fwdbtn,True,0.0,False,1658533166909,2022,7,22,166.157
Windows,Hablan De Mi,Melodico,Hablan De Mi,fwdbtn,trackdone,True,0.0,False,0,2022,10,28,179.923
Windows,Stepped On A Bee,MisterWives,Stepped On A Bee,trackdone,trackdone,True,0.0,False,0,2022,12,20,227.288
Android,Oceans,MisterWives,Our Own House,trackdone,trackdone,True,0.0,False,1676642753,2023,2,17,252.266
Android,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",trackdone,trackdone,True,0.0,True,1650675548544,2022,4,23,175.873
Windows,Breakdown,Tessa Violet,Breakdown,clickrow,logout,True,0.0,False,1676945454,2023,2,21,113.42
Android,Bang Bang,K'NAAN,Troubadour,backbtn,trackdone,True,0.0,False,1659356666947,2022,8,1,186.533
Android,Ruin My Life,Zara Larsson,Poster Girl,fwdbtn,trackdone,True,0.0,True,1654714283399,2022,6,8,190.05
Windows,Chasing This,MisterWives,Connect The Dots,trackdone,trackdone,True,0.0,False,1659927692721,2022,8,8,240.266
Otros,Machine,MisterWives,Connect The Dots,trackdone,trackdone,False,0.0,False,0,2022,9,6,210.427
Android,Only You,Zara Larsson,So Good,trackdone,trackdone,True,0.0,False,1661302791914,2022,8,24,222.373
Android,Symphony (feat. Zara Larsson),Clean Bandit,What Is Love?,trackdone,trackdone,True,0.0,False,1672751089,2023,1,3,212.733
Otros,En el 2000,Natalia Lafourcade,Natalia Lafourcade,trackdone,trackdone,False,0.0,False,0,2022,8,21,215.0
Android,Lo Malo,Aitana,Lo Malo,fwdbtn,fwdbtn,True,0.0,True,1660783217827,2022,8,18,1.388
Android,Mi Frikimundo,Porta,No Hay Truco (Maqueta 2007),trackdone,trackdone,True,0.0,False,1647967468506,2022,3,22,218.038
Windows,Coffins,MisterWives,Our Own House,fwdbtn,fwdbtn,True,1.0,False,1675446752,2023,2,3,0.97
Android,Coloring Outside The Lines,MisterWives,Connect The Dots,trackdone,trackdone,True,0.0,False,1659909392051,2022,8,7,231.306
Android,Vagabond,MisterWives,Our Own House,fwdbtn,trackdone,True,0.0,False,1639070197783,2021,12,9,185.866
Windows,the end,MisterWives,SUPERBLOOM,trackdone,fwdbtn,True,0.0,False,1658693943324,2022,7,24,8.753
